Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pets/1 24 Pet clinic,1,79,79,79,79,79,79,79,"100,000%","12,65823","3,15","4,25"
http://20.50.171.10:9966/petclinic/api/pets/1 26 Pet clinic,1,78,78,78,78,78,78,78,"100,000%","12,82051","3,19","4,31"
http://20.50.171.10:9966/petclinic/api/pets/1 6 Pet clinic,1,81,81,81,81,81,81,81,"100,000%","12,34568","3,07","4,15"
http://20.50.171.10:9966/petclinic/api/pets/1 40 Pet clinic,1,93,93,93,93,93,93,93,"100,000%","10,75269","2,68","3,61"
http://20.50.171.10:9966/petclinic/api/pets/1 45 Pet clinic,1,68,68,68,68,68,68,68,"100,000%","14,70588","3,66","4,94"
http://20.50.171.10:9966/petclinic/api/pets/1 28 Pet clinic,1,67,67,67,67,67,67,67,"100,000%","14,92537","3,72","5,01"
http://20.50.171.10:9966/petclinic/api/pets/1 66 Pet clinic,1,67,67,67,67,67,67,67,"100,000%","14,92537","3,72","5,01"
http://20.50.171.10:9966/petclinic/api/pets/1 1 Pet clinic,1,69,69,69,69,69,69,69,"100,000%","14,49275","3,61","4,87"
http://20.50.171.10:9966/petclinic/api/pets/1 34 Pet clinic,1,69,69,69,69,69,69,69,"100,000%","14,49275","3,61","4,87"
http://20.50.171.10:9966/petclinic/api/pets/1 41 Pet clinic,1,70,70,70,70,70,70,70,"100,000%","14,28571","3,56","4,80"
http://20.50.171.10:9966/petclinic/api/pets/1 16 Pet clinic,1,70,70,70,70,70,70,70,"100,000%","14,28571","3,56","4,80"
http://20.50.171.10:9966/petclinic/api/pets/1 30 Pet clinic,1,97,97,97,97,97,97,97,"100,000%","10,30928","2,57","3,46"
http://20.50.171.10:9966/petclinic/api/pets/1 13 Pet clinic,1,69,69,69,69,69,69,69,"100,000%","14,49275","3,61","4,87"
http://20.50.171.10:9966/petclinic/api/pets/1 51 Pet clinic,1,89,89,89,89,89,89,89,"100,000%","11,23596","2,80","3,77"
http://20.50.171.10:9966/petclinic/api/pets/1 12 Pet clinic,1,73,73,73,73,73,73,73,"100,000%","13,69863","3,41","4,60"
http://20.50.171.10:9966/petclinic/api/pets/1 5 Pet clinic,1,334,334,334,334,334,334,334,"100,000%","2,99401","0,75","1,01"
http://20.50.171.10:9966/petclinic/api/pets/1 36 Pet clinic,1,343,343,343,343,343,343,343,"100,000%","2,91545","0,73","0,98"
http://20.50.171.10:9966/petclinic/api/pets/1 15 Pet clinic,1,325,325,325,325,325,325,325,"100,000%","3,07692","0,77","1,03"
http://20.50.171.10:9966/petclinic/api/owners 57 ${websiteName},1,5526,5526,5526,5526,5526,5526,5526,"0,000%",",18096","53,88","0,05"
http://20.50.171.10:9966/petclinic/api/owners 69 ${websiteName},1,5426,5426,5426,5426,5426,5426,5426,"0,000%",",18430","54,87","0,05"
http://20.50.171.10:9966/petclinic/api/owners/5 57 Pet clinic,1,51,51,51,51,51,51,51,"0,000%","19,60784","8,66","4,98"
http://20.50.171.10:9966/petclinic/api/owners 49 ${websiteName},1,5662,5662,5662,5662,5662,5662,5662,"0,000%",",17662","52,58","0,04"
http://20.50.171.10:9966/petclinic/api/owners 48 ${websiteName},1,5687,5687,5687,5687,5687,5687,5687,"0,000%",",17584","52,35","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 69 Pet clinic,1,56,56,56,56,56,56,56,"0,000%","17,85714","7,88","4,53"
http://20.50.171.10:9966/petclinic/api/pets/1 57 Pet clinic,1,63,63,63,63,63,63,63,"100,000%","15,87302","3,95","5,33"
http://20.50.171.10:9966/petclinic/api/owners/5 49 Pet clinic,1,61,61,61,61,61,61,61,"0,000%","16,39344","7,24","4,16"
http://20.50.171.10:9966/petclinic/api/owners/5 48 Pet clinic,1,61,61,61,61,61,61,61,"0,000%","16,39344","7,24","4,16"
http://20.50.171.10:9966/petclinic/api/pets/1 69 Pet clinic,1,58,58,58,58,58,58,58,"100,000%","17,24138","4,29","5,79"
http://20.50.171.10:9966/petclinic/api/owners 23 ${websiteName},1,6029,6029,6029,6029,6029,6029,6029,"0,000%",",16586","49,38","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 48 Pet clinic,1,54,54,54,54,54,54,54,"100,000%","18,51852","4,61","6,22"
http://20.50.171.10:9966/petclinic/api/owners 74 ${websiteName},1,5554,5554,5554,5554,5554,5554,5554,"0,000%",",18005","53,61","0,05"
http://20.50.171.10:9966/petclinic/api/owners/5 23 Pet clinic,1,59,59,59,59,59,59,59,"0,000%","16,94915","7,48","4,30"
http://20.50.171.10:9966/petclinic/api/owners/5 74 Pet clinic,1,51,51,51,51,51,51,51,"0,000%","19,60784","8,66","4,98"
http://20.50.171.10:9966/petclinic/api/pets/1 23 Pet clinic,1,49,49,49,49,49,49,49,"100,000%","20,40816","5,08","6,86"
http://20.50.171.10:9966/petclinic/api/owners 62 ${websiteName},1,5772,5772,5772,5772,5772,5772,5772,"0,000%",",17325","51,58","0,04"
http://20.50.171.10:9966/petclinic/api/owners 4 ${websiteName},1,6354,6354,6354,6354,6354,6354,6354,"0,000%",",15738","46,86","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 74 Pet clinic,1,54,54,54,54,54,54,54,"100,000%","18,51852","4,61","6,22"
http://20.50.171.10:9966/petclinic/api/owners 61 ${websiteName},1,5798,5798,5798,5798,5798,5798,5798,"0,000%",",17247","51,35","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 62 Pet clinic,1,54,54,54,54,54,54,54,"0,000%","18,51852","8,17","4,70"
http://20.50.171.10:9966/petclinic/api/owners/5 4 Pet clinic,1,57,57,57,57,57,57,57,"0,000%","17,54386","7,74","4,45"
http://20.50.171.10:9966/petclinic/api/owners/5 61 Pet clinic,1,51,51,51,51,51,51,51,"0,000%","19,60784","8,66","4,98"
http://20.50.171.10:9966/petclinic/api/pets/1 62 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,15"
http://20.50.171.10:9966/petclinic/api/owners 90 ${websiteName},1,5597,5597,5597,5597,5597,5597,5597,"0,000%",",17867","53,19","0,05"
http://20.50.171.10:9966/petclinic/api/owners 43 ${websiteName},1,6083,6083,6083,6083,6083,6083,6083,"0,000%",",16439","48,94","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 4 Pet clinic,1,57,57,57,57,57,57,57,"100,000%","17,54386","4,37","5,89"
http://20.50.171.10:9966/petclinic/api/pets/1 61 Pet clinic,1,56,56,56,56,56,56,56,"100,000%","17,85714","4,45","6,00"
http://20.50.171.10:9966/petclinic/api/owners 18 ${websiteName},1,6337,6337,6337,6337,6337,6337,6337,"0,000%",",15780","46,98","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 49 Pet clinic,1,310,310,310,310,310,310,310,"100,000%","3,22581","0,80","1,08"
http://20.50.171.10:9966/petclinic/api/owners/5 90 Pet clinic,1,52,52,52,52,52,52,52,"0,000%","19,23077","8,49","4,88"
http://20.50.171.10:9966/petclinic/api/owners/5 43 Pet clinic,1,69,69,69,69,69,69,69,"0,000%","14,49275","6,40","3,68"
http://20.50.171.10:9966/petclinic/api/owners/5 18 Pet clinic,1,67,67,67,67,67,67,67,"0,000%","14,92537","6,59","3,79"
http://20.50.171.10:9966/petclinic/api/pets/1 90 Pet clinic,1,49,49,49,49,49,49,49,"100,000%","20,40816","5,08","6,86"
http://20.50.171.10:9966/petclinic/api/pets/1 43 Pet clinic,1,61,61,61,61,61,61,61,"100,000%","16,39344","4,08","5,51"
http://20.50.171.10:9966/petclinic/api/pets/1 18 Pet clinic,1,60,60,60,60,60,60,60,"100,000%","16,66667","4,15","5,60"
http://20.50.171.10:9966/petclinic/api/owners 87 ${websiteName},1,5873,5873,5873,5873,5873,5873,5873,"0,000%",",17027","50,69","0,04"
http://20.50.171.10:9966/petclinic/api/owners 63 ${websiteName},1,6138,6138,6138,6138,6138,6138,6138,"0,000%",",16292","48,51","0,04"
http://20.50.171.10:9966/petclinic/api/owners 38 ${websiteName},1,6407,6407,6407,6407,6407,6407,6407,"0,000%",",15608","46,47","0,04"
http://20.50.171.10:9966/petclinic/api/owners 22 ${websiteName},1,6568,6568,6568,6568,6568,6568,6568,"0,000%",",15225","45,33","0,04"
http://20.50.171.10:9966/petclinic/api/owners 72 ${websiteName},1,6076,6076,6076,6076,6076,6076,6076,"0,000%",",16458","49,00","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 87 Pet clinic,1,55,55,55,55,55,55,55,"0,000%","18,18182","8,03","4,62"
http://20.50.171.10:9966/petclinic/api/owners/5 63 Pet clinic,1,50,50,50,50,50,50,50,"0,000%","20,00000","8,83","5,08"
http://20.50.171.10:9966/petclinic/api/owners/5 22 Pet clinic,1,58,58,58,58,58,58,58,"0,000%","17,24138","7,61","4,38"
http://20.50.171.10:9966/petclinic/api/owners/5 38 Pet clinic,1,60,60,60,60,60,60,60,"0,000%","16,66667","7,36","4,23"
http://20.50.171.10:9966/petclinic/api/owners/5 72 Pet clinic,1,55,55,55,55,55,55,55,"0,000%","18,18182","8,03","4,62"
http://20.50.171.10:9966/petclinic/api/pets/1 87 Pet clinic,1,52,52,52,52,52,52,52,"100,000%","19,23077","4,79","6,46"
http://20.50.171.10:9966/petclinic/api/pets/1 63 Pet clinic,1,49,49,49,49,49,49,49,"100,000%","20,40816","5,08","6,86"
http://20.50.171.10:9966/petclinic/api/owners 25 ${websiteName},1,6649,6649,6649,6649,6649,6649,6649,"0,000%",",15040","44,78","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 38 Pet clinic,1,57,57,57,57,57,57,57,"100,000%","17,54386","4,37","5,89"
http://20.50.171.10:9966/petclinic/api/pets/1 22 Pet clinic,1,58,58,58,58,58,58,58,"100,000%","17,24138","4,29","5,79"
http://20.50.171.10:9966/petclinic/api/pets/1 72 Pet clinic,1,52,52,52,52,52,52,52,"100,000%","19,23077","4,79","6,46"
http://20.50.171.10:9966/petclinic/api/owners 100 ${websiteName},1,5946,5946,5946,5946,5946,5946,5946,"0,000%",",16818","50,07","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 25 Pet clinic,1,50,50,50,50,50,50,50,"0,000%","20,00000","8,83","5,08"
http://20.50.171.10:9966/petclinic/api/owners 68 ${websiteName},1,6272,6272,6272,6272,6272,6272,6272,"0,000%",",15944","47,47","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 100 Pet clinic,1,52,52,52,52,52,52,52,"0,000%","19,23077","8,49","4,88"
http://20.50.171.10:9966/petclinic/api/pets/1 25 Pet clinic,1,51,51,51,51,51,51,51,"100,000%","19,60784","4,88","6,59"
http://20.50.171.10:9966/petclinic/api/owners/5 68 Pet clinic,1,51,51,51,51,51,51,51,"0,000%","19,60784","8,66","4,98"
http://20.50.171.10:9966/petclinic/api/owners 60 ${websiteName},1,6427,6427,6427,6427,6427,6427,6427,"0,000%",",15559","46,32","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 100 Pet clinic,1,55,55,55,55,55,55,55,"100,000%","18,18182","4,53","6,11"
http://20.50.171.10:9966/petclinic/api/pets/1 68 Pet clinic,1,53,53,53,53,53,53,53,"100,000%","18,86792","4,70","6,34"
http://20.50.171.10:9966/petclinic/api/owners 70 ${websiteName},1,6373,6373,6373,6373,6373,6373,6373,"0,000%",",15691","46,72","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 60 Pet clinic,1,62,62,62,62,62,62,62,"0,000%","16,12903","7,12","4,10"
http://20.50.171.10:9966/petclinic/api/owners 78 ${websiteName},1,6325,6325,6325,6325,6325,6325,6325,"0,000%",",15810","47,07","0,04"
http://20.50.171.10:9966/petclinic/api/owners 75 ${websiteName},1,6373,6373,6373,6373,6373,6373,6373,"0,000%",",15691","46,72","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 60 Pet clinic,1,54,54,54,54,54,54,54,"100,000%","18,51852","4,61","6,22"
http://20.50.171.10:9966/petclinic/api/owners/5 70 Pet clinic,1,62,62,62,62,62,62,62,"0,000%","16,12903","7,12","4,10"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,7075,7075,7075,7075,7075,7075,7075,"0,000%",",14134","42,08","0,04"
http://20.50.171.10:9966/petclinic/api/owners 65 ${websiteName},1,6506,6506,6506,6506,6506,6506,6506,"0,000%",",15370","45,76","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 78 Pet clinic,1,51,51,51,51,51,51,51,"0,000%","19,60784","8,66","4,98"
http://20.50.171.10:9966/petclinic/api/owners/5 75 Pet clinic,1,59,59,59,59,59,59,59,"0,000%","16,94915","7,48","4,30"
http://20.50.171.10:9966/petclinic/api/owners 19 ${websiteName},1,7003,7003,7003,7003,7003,7003,7003,"0,000%",",14280","42,51","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 70 Pet clinic,1,52,52,52,52,52,52,52,"100,000%","19,23077","4,79","6,46"
http://20.50.171.10:9966/petclinic/api/owners/5 7 Pet clinic,1,50,50,50,50,50,50,50,"0,000%","20,00000","8,83","5,08"
http://20.50.171.10:9966/petclinic/api/owners/5 65 Pet clinic,1,48,48,48,48,48,48,48,"0,000%","20,83333","9,20","5,29"
http://20.50.171.10:9966/petclinic/api/pets/1 78 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,15"
http://20.50.171.10:9966/petclinic/api/pets/1 75 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,15"
http://20.50.171.10:9966/petclinic/api/owners/5 19 Pet clinic,1,50,50,50,50,50,50,50,"0,000%","20,00000","8,83","5,08"
http://20.50.171.10:9966/petclinic/api/pets/1 65 Pet clinic,1,51,51,51,51,51,51,51,"100,000%","19,60784","4,88","6,59"
http://20.50.171.10:9966/petclinic/api/pets/1 7 Pet clinic,1,52,52,52,52,52,52,52,"100,000%","19,23077","4,79","6,46"
http://20.50.171.10:9966/petclinic/api/owners 84 ${websiteName},1,6422,6422,6422,6422,6422,6422,6422,"0,000%",",15571","46,36","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 19 Pet clinic,1,50,50,50,50,50,50,50,"100,000%","20,00000","4,98","6,72"
http://20.50.171.10:9966/petclinic/api/owners/5 84 Pet clinic,1,48,48,48,48,48,48,48,"0,000%","20,83333","9,20","5,29"
http://20.50.171.10:9966/petclinic/api/pets/1 84 Pet clinic,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","7,30"
http://20.50.171.10:9966/petclinic/api/owners 50 ${websiteName},1,6917,6917,6917,6917,6917,6917,6917,"0,000%",",14457","43,04","0,04"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,7218,7218,7218,7218,7218,7218,7218,"0,000%",",13854","41,25","0,03"
http://20.50.171.10:9966/petclinic/api/owners/5 20 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","9,39","5,40"
http://20.50.171.10:9966/petclinic/api/owners/5 50 Pet clinic,1,55,55,55,55,55,55,55,"0,000%","18,18182","8,03","4,62"
http://20.50.171.10:9966/petclinic/api/owners 47 ${websiteName},1,7010,7010,7010,7010,7010,7010,7010,"0,000%",",14265","42,47","0,04"
http://20.50.171.10:9966/petclinic/api/owners 33 ${websiteName},1,7158,7158,7158,7158,7158,7158,7158,"0,000%",",13970","41,59","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 20 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,15"
http://20.50.171.10:9966/petclinic/api/owners/5 47 Pet clinic,1,49,49,49,49,49,49,49,"0,000%","20,40816","9,01","5,18"
http://20.50.171.10:9966/petclinic/api/owners/5 33 Pet clinic,1,50,50,50,50,50,50,50,"0,000%","20,00000","8,83","5,08"
http://20.50.171.10:9966/petclinic/api/pets/1 47 Pet clinic,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","7,15"
http://20.50.171.10:9966/petclinic/api/pets/1 33 Pet clinic,1,44,44,44,44,44,44,44,"100,000%","22,72727","5,66","7,63"
http://20.50.171.10:9966/petclinic/api/owners 94 ${websiteName},1,6683,6683,6683,6683,6683,6683,6683,"0,000%",",14963","44,55","0,04"
http://20.50.171.10:9966/petclinic/api/owners 39 ${websiteName},1,7235,7235,7235,7235,7235,7235,7235,"0,000%",",13822","41,15","0,03"
http://20.50.171.10:9966/petclinic/api/owners 96 ${websiteName},1,6677,6677,6677,6677,6677,6677,6677,"0,000%",",14977","44,59","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 39 Pet clinic,1,54,54,54,54,54,54,54,"0,000%","18,51852","8,17","4,70"
http://20.50.171.10:9966/petclinic/api/owners/5 96 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","10,03","5,77"
http://20.50.171.10:9966/petclinic/api/owners 99 ${websiteName},1,6721,6721,6721,6721,6721,6721,6721,"0,000%",",14879","44,30","0,04"
http://20.50.171.10:9966/petclinic/api/pets/1 39 Pet clinic,1,48,48,48,48,48,48,48,"100,000%","20,83333","5,19","7,00"
http://20.50.171.10:9966/petclinic/api/owners 17 ${websiteName},1,7559,7559,7559,7559,7559,7559,7559,"0,000%",",13229","39,39","0,03"
