Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 46 ${websiteName},3,7100,270,20925,20925,20925,106,20925,"0,000%",",13472","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 194 ${websiteName},2,5765,98,11432,11432,11432,98,11432,"0,000%",",16301","0,08","0,07"
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},3,6580,228,19403,19403,19403,109,19403,"0,000%",",14513","0,08","0,06"
http://20.50.171.10:9966/petclinic/api/owners 67 ${websiteName},3,7168,198,21205,21205,21205,101,21205,"0,000%",",13281","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 109 ${websiteName},2,170,108,232,232,232,108,232,"0,000%","2,88184","1,50","1,27"
http://20.50.171.10:9966/petclinic/api/owners 170 ${websiteName},2,6149,97,12201,12201,12201,97,12201,"0,000%",",15444","0,08","0,07"
http://20.50.171.10:9966/petclinic/api/owners 95 ${websiteName},3,3815,112,11228,11228,11228,106,11228,"0,000%",",23802","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 112 ${websiteName},2,172,110,235,235,235,110,235,"0,000%","2,87770","1,50","1,27"
http://20.50.171.10:9966/petclinic/api/owners 110 ${websiteName},2,171,110,232,232,232,110,232,"0,000%","2,81294","1,46","1,24"
http://20.50.171.10:9966/petclinic/api/owners 102 ${websiteName},2,185,107,264,264,264,107,264,"0,000%","2,56739","1,33","1,13"
http://20.50.171.10:9966/petclinic/api/owners 97 ${websiteName},3,7046,244,20793,20793,20793,102,20793,"0,000%",",13539","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 104 ${websiteName},2,135,113,158,158,158,113,158,"0,000%","2,59067","1,35","1,14"
http://20.50.171.10:9966/petclinic/api/owners 152 ${websiteName},2,118,107,130,130,130,107,130,"0,000%","2,84900","1,48","1,25"
http://20.50.171.10:9966/petclinic/api/owners 34 ${websiteName},3,4502,223,13186,13186,13186,99,13186,"0,000%",",20647","0,11","0,09"
http://20.50.171.10:9966/petclinic/api/owners 93 ${websiteName},3,5029,242,14732,14732,14732,113,14732,"0,000%",",18623","0,10","0,08"
http://20.50.171.10:9966/petclinic/api/owners 66 ${websiteName},3,6788,234,20029,20029,20029,102,20029,"0,000%",",14008","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 90 ${websiteName},3,6836,122,20282,20282,20282,106,20282,"0,000%",",13884","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 169 ${websiteName},2,3770,102,7439,7439,7439,102,7439,"0,000%",",24375","0,13","0,11"
http://20.50.171.10:9966/petclinic/api/owners 36 ${websiteName},3,6757,343,19796,19796,19796,134,19796,"0,000%",",14205","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 56 ${websiteName},3,6694,365,19619,19619,19619,100,19619,"0,000%",",14282","0,07","0,06"
