Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 53 ${websiteName},1,146,146,146,146,146,146,146,"0,000%","6,84932","121,37","1,74"
http://20.50.171.10:9966/petclinic/api/pettypes 49 Pet clinic,1,56,56,56,56,56,56,56,"0,000%","17,85714","7,08","5,88"
http://20.50.171.10:9966/petclinic/api/pettypes 50 Pet clinic,1,49,49,49,49,49,49,49,"0,000%","20,40816","8,09","6,72"
http://20.50.171.10:9966/petclinic/api/pettypes 55 ${websiteName},1,144,144,144,144,144,144,144,"0,000%","6,94444","123,25","1,76"
http://20.50.171.10:9966/petclinic/api/pettypes 56 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","131,87","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes 51 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 52 Pet clinic,1,41,41,41,41,41,41,41,"0,000%","24,39024","9,67","8,03"
http://20.50.171.10:9966/petclinic/api/pettypes 57 ${websiteName},1,146,146,146,146,146,146,146,"0,000%","6,84932","122,12","1,74"
http://20.50.171.10:9966/petclinic/api/pettypes 53 Pet clinic,1,41,41,41,41,41,41,41,"0,000%","24,39024","9,67","8,03"
http://20.50.171.10:9966/petclinic/api/pettypes 54 Pet clinic,1,49,49,49,49,49,49,49,"0,000%","20,40816","8,09","6,72"
http://20.50.171.10:9966/petclinic/api/pettypes 59 ${websiteName},1,142,142,142,142,142,142,142,"0,000%","7,04225","125,95","1,79"
http://20.50.171.10:9966/petclinic/api/pettypes 58 ${websiteName},1,152,152,152,152,152,152,152,"0,000%","6,57895","117,30","1,67"
http://20.50.171.10:9966/petclinic/api/pettypes 55 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 60 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","131,51","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 56 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 61 ${websiteName},1,137,137,137,137,137,137,137,"0,000%","7,29927","130,94","1,85"
http://20.50.171.10:9966/petclinic/api/pettypes 62 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","129,06","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 57 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 59 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
