Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pets/1 3 Pet clinic,2,47,47,48,48,48,47,48,"100,000%","20,83333","5,19","7,94"
http://20.50.171.10:9966/petclinic/api/pets/1 8 Pet clinic,2,47,47,48,48,48,47,48,"100,000%","21,05263","5,24","8,03"
http://20.50.171.10:9966/petclinic/api/owners/5 10 Pet clinic,2,46,42,50,50,50,42,50,"0,000%","5,37634","2,37","1,37"
http://20.50.171.10:9966/petclinic/api/owners/5 4 Pet clinic,2,50,49,51,51,51,49,51,"0,000%","3,30033","1,46","0,84"
http://20.50.171.10:9966/petclinic/api/owners 49 ${websiteName},1,3303,3303,3303,3303,3303,3303,3303,"0,000%",",30276","90,14","0,08"
http://20.50.171.10:9966/petclinic/api/owners 45 ${websiteName},1,3405,3405,3405,3405,3405,3405,3405,"0,000%",",29369","87,44","0,07"
http://20.50.171.10:9966/petclinic/api/pettypes 6 Pet clinic,1,222,222,222,222,222,222,222,"0,000%","4,50450","145,50","1,14"
http://20.50.171.10:9966/petclinic/api/owners/5 49 Pet clinic,2,52,51,53,53,53,51,53,"0,000%","5,18135","2,29","1,32"
http://20.50.171.10:9966/petclinic/api/owners 40 ${websiteName},1,3539,3539,3539,3539,3539,3539,3539,"0,000%",",28257","84,13","0,07"
http://20.50.171.10:9966/petclinic/api/owners/5 45 Pet clinic,2,55,43,67,67,67,43,67,"0,000%","5,02513","2,22","1,28"
http://20.50.171.10:9966/petclinic/api/pets/1 6 Pet clinic,2,41,41,42,42,42,41,42,"100,000%","24,09639","6,00","9,19"
http://20.50.171.10:9966/petclinic/api/owners 34 ${websiteName},1,3690,3690,3690,3690,3690,3690,3690,"0,000%",",27100","80,69","0,07"
http://20.50.171.10:9966/petclinic/api/owners/5 40 Pet clinic,2,56,45,68,68,68,45,68,"0,000%","5,50964","2,43","1,40"
http://20.50.171.10:9966/petclinic/api/owners/5 34 Pet clinic,2,48,47,50,50,50,47,50,"0,000%","4,60829","2,03","1,17"
http://20.50.171.10:9966/petclinic/api/owners 19 ${websiteName},1,4049,4049,4049,4049,4049,4049,4049,"0,000%",",24697","73,53","0,06"
http://20.50.171.10:9966/petclinic/api/pettypes 10 Pet clinic,1,197,197,197,197,197,197,197,"0,000%","5,07614","163,96","1,29"
http://20.50.171.10:9966/petclinic/api/owners/5 19 Pet clinic,2,46,46,47,47,47,46,47,"0,000%","4,70588","2,08","1,19"
http://20.50.171.10:9966/petclinic/api/pets/1 10 Pet clinic,2,40,40,41,41,41,40,41,"100,000%","24,39024","6,07","9,30"
http://20.50.171.10:9966/petclinic/api/pettypes 49 Pet clinic,1,176,176,176,176,176,176,176,"0,000%","5,68182","183,53","1,44"
http://20.50.171.10:9966/petclinic/api/pettypes 40 Pet clinic,1,134,134,134,134,134,134,134,"0,000%","7,46269","241,05","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 45 Pet clinic,1,175,175,175,175,175,175,175,"0,000%","5,71429","184,58","1,45"
http://20.50.171.10:9966/petclinic/api/owners 37 ${websiteName},1,3800,3800,3800,3800,3800,3800,3800,"0,000%",",26316","78,35","0,07"
http://20.50.171.10:9966/petclinic/api/pets/1 49 Pet clinic,2,50,47,53,53,53,47,53,"100,000%","19,23077","4,79","7,33"
http://20.50.171.10:9966/petclinic/api/pets/1 40 Pet clinic,2,57,47,68,68,68,47,68,"100,000%","17,39130","4,33","6,63"
http://20.50.171.10:9966/petclinic/api/pets/1 45 Pet clinic,2,55,45,65,65,65,45,65,"100,000%","18,01802","4,49","6,87"
http://20.50.171.10:9966/petclinic/api/owners/5 37 Pet clinic,2,44,42,47,47,47,42,47,"0,000%","5,03778","2,22","1,28"
