Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes/1 36 Pet clinic,2,89,61,118,118,118,61,118,"0,000%","11,17318","3,43","3,30"
http://20.50.171.10:9966/petclinic/api/pettypes 41 ${websiteName},1,178,178,178,178,178,178,178,"0,000%","5,61798","83,86","1,43"
http://20.50.171.10:9966/petclinic/api/pettypes 29 Pet clinic,1,102,102,102,102,102,102,102,"0,000%","9,80392","146,35","2,49"
http://20.50.171.10:9966/petclinic/api/pettypes/1 38 Pet clinic,2,84,52,117,117,117,52,117,"0,000%","11,76471","3,61","3,47"
http://20.50.171.10:9966/petclinic/api/pettypes/1 37 Pet clinic,2,86,82,90,90,90,82,90,"0,000%","11,56069","3,55","3,41"
http://20.50.171.10:9966/petclinic/api/pettypes/1 39 Pet clinic,2,86,82,90,90,90,82,90,"0,000%","11,56069","3,55","3,41"
http://20.50.171.10:9966/petclinic/api/pettypes/1 35 Pet clinic,2,84,76,93,93,93,76,93,"0,000%","11,76471","3,61","3,47"
http://20.50.171.10:9966/petclinic/api/pettypes/1 40 Pet clinic,2,84,76,93,93,93,76,93,"0,000%","11,76471","3,61","3,47"
http://20.50.171.10:9966/petclinic/api/pettypes 42 ${websiteName},1,212,212,212,212,212,212,212,"0,000%","4,71698","70,41","1,20"
http://20.50.171.10:9966/petclinic/api/pettypes 44 ${websiteName},1,176,176,176,176,176,176,176,"0,000%","5,68182","84,82","1,44"
http://20.50.171.10:9966/petclinic/api/pettypes 43 ${websiteName},1,196,196,196,196,196,196,196,"0,000%","5,10204","76,16","1,30"
http://20.50.171.10:9966/petclinic/api/pettypes 18 Pet clinic,1,383,383,383,383,383,383,383,"0,000%","2,61097","38,98","0,66"
http://20.50.171.10:9966/petclinic/api/pettypes 30 Pet clinic,1,139,139,139,139,139,139,139,"0,000%","7,19424","107,39","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 32 Pet clinic,1,170,170,170,170,170,170,170,"0,000%","5,88235","87,81","1,49"
http://20.50.171.10:9966/petclinic/api/pettypes 31 Pet clinic,1,170,170,170,170,170,170,170,"0,000%","5,88235","87,81","1,49"
http://20.50.171.10:9966/petclinic/api/pettypes/1 41 Pet clinic,2,85,54,117,117,117,54,117,"0,000%","11,62791","3,57","3,43"
http://20.50.171.10:9966/petclinic/api/pettypes 46 ${websiteName},1,201,201,201,201,201,201,201,"0,000%","4,97512","74,27","1,26"
